artifact_label,round,model,rows_total,rows_valid,nan_y_true,nan_y_pred,status,mae,rmse,medae,wape
baseline_r1,round1,baseline,56195,56195,0,0,valid,0.5781678505742694,3.6652676899064343,0.0032494969818913,1.034837167470387
openai_r1,round1,openai,56196,56196,0,0,valid,0.9107091954225073,3.5561051704639866,0.4643241251866655,1.6413162461040829
llama_r1,round1,llama,56265,56265,0,0,valid,0.01024810213305199,0.24697384446568105,1.5213178294574212e-05,0.018348269886029858
baseline_r2,round2,baseline,55790,55790,0,0,valid,0.5689832121662348,3.7125587454304187,0.0033092122653978,1.06703796102359
openai_r2,round2,openai,54981,7196,47785,0,invalid_predictions,0.9940462502259383,2.7746239503958767,0.45793181240849945,1.879711181114382
llama_r2,round2,llama,55807,55807,0,0,valid,0.8664479033898808,3.381693898520598,0.3154411762508365,1.6327712648195731
